timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1654010453573,8684,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,98,https://localhost:44339/graph/neighbourhoods,,8684,utf-8,1,0,patrick,0,8
1654010448066,14254,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,98,https://localhost:44339/listings,,12915,utf-8,1,0,patrick,0,11
1654010453330,9068,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,97,https://localhost:44339/graph/neighbourhoods,,9068,utf-8,1,0,patrick,0,20
1654010449333,13163,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,97,https://localhost:44339/listings,,11957,utf-8,1,0,patrick,0,14
1654010449096,13493,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,96,https://localhost:44339/listings,,12341,utf-8,1,0,patrick,0,34
1654010446165,16535,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,95,https://localhost:44339/listings,,15255,utf-8,1,0,patrick,0,51
1654010447662,15090,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,94,https://localhost:44339/listings,,11928,utf-8,1,0,patrick,0,21
1654010444921,18012,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,93,https://localhost:44339/listings,,14645,utf-8,1,0,patrick,0,12
1654010453252,9687,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,92,https://localhost:44339/graph/neighbourhoods,,9687,utf-8,1,0,patrick,0,12
1654010448236,14831,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,92,https://localhost:44339/listings,,13645,utf-8,1,0,patrick,0,12
1654010447091,16002,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,91,https://localhost:44339/listings,,14753,utf-8,1,0,patrick,0,36
1654010446898,16287,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,90,https://localhost:44339/listings,,11256,utf-8,1,0,patrick,0,17
1654010453510,9755,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,89,https://localhost:44339/graph/neighbourhoods,,9755,utf-8,1,0,patrick,0,19
1654010446993,16963,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,89,https://localhost:44339/listings,,10971,utf-8,1,0,patrick,0,12
1654010445559,18465,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,88,https://localhost:44339/listings,,16821,utf-8,1,0,patrick,0,11
1654010446744,17336,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,87,https://localhost:44339/listings,,15714,utf-8,1,0,patrick,0,17
1654010450491,13630,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,86,https://localhost:44339/listings,,12002,utf-8,1,0,patrick,0,10
1654010450397,13753,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,85,https://localhost:44339/listings,,12122,utf-8,1,0,patrick,0,10
1654010447735,16476,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,84,https://localhost:44339/listings,,14867,utf-8,1,0,patrick,0,28
1654010445011,19247,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,83,https://localhost:44339/listings,,17665,utf-8,1,0,patrick,0,12
1654010447565,16772,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,82,https://localhost:44339/listings,,15173,utf-8,1,0,patrick,0,11
1654010448732,15905,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,81,https://localhost:44339/listings,,9422,utf-8,1,0,patrick,0,11
1654010448485,16481,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,80,https://localhost:44339/listings,,11541,utf-8,1,0,patrick,0,21
1654010443256,21759,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,79,https://localhost:44339/listings,,15401,utf-8,1,0,patrick,0,17
1654010448158,17058,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,78,https://localhost:44339/listings,,15787,utf-8,1,0,patrick,0,11
