timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1654010101317,382,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,67,https://localhost:44339/listings/geojson,,340,utf-8,1,0,patrick,0,14
1654010101722,155,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,69,https://localhost:44339/listings/listings/id/23601178,,155,ISO-8859-1,1,0,patrick,0,42
1654010101817,74,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,69,https://localhost:44339/listings/listings/id/23601178,,74,ISO-8859-1,1,0,patrick,0,17
1654010100518,1379,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,69,https://localhost:44339/graph/neighbourhoods,,1379,utf-8,1,0,patrick,0,12
1654010101923,16,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,70,https://localhost:44339/listings/listings/id/23601178,,16,ISO-8859-1,1,0,patrick,0,11
1654010094922,7052,https://localhost:44339/listings,200,OK,parallel bzm - Parallel Controller,text,true,,24728362,128,1,70,https://localhost:44339/listings,,5398,utf-8,1,0,patrick,0,27
1654010101522,454,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,69,https://localhost:44339/listings/geojson,,353,utf-8,1,0,patrick,0,12
1654010102015,16,https://localhost:44339/listings/id/23601178,200,OK,parallel bzm - Parallel Controller,text,true,,1455,149,4,70,https://localhost:44339/listings/listings/id/23601178,,16,ISO-8859-1,1,0,patrick,0,10
1654010101617,432,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,70,https://localhost:44339/listings/geojson,,384,utf-8,1,0,patrick,0,21
1654010100719,1351,https://localhost:44339/graph/neighbourhoods,200,OK,parallel bzm - Parallel Controller,text,true,,731,140,2,70,https://localhost:44339/graph/neighbourhoods,,1351,utf-8,1,0,patrick,0,13
1654010101819,270,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,70,https://localhost:44339/listings/geojson,,216,utf-8,1,0,patrick,0,14
1654010101410,735,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,71,https://localhost:44339/listings/geojson,,692,utf-8,1,0,patrick,0,10
1654010101923,253,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,71,https://localhost:44339/listings/geojson,,183,utf-8,1,0,patrick,0,10
1654010101722,455,https://localhost:44339/listings/geojson,200,OK,parallel bzm - Parallel Controller,text,true,,1219276,136,3,71,https://localhost:44339/listings/geojson,,408,utf-8,1,0,patrick,0,56
